"Classement","Films","Émission","Timestamp","tconst"
"266","Le grand Pardon","82","0h 13m 19s","tt0082471"
"267","Turner & Hooch","161","1h 33m 33s","tt0098536"
"268","Scout toujours...","162","1h 14m 21s","tt0089977"
"269","Golden Child","77","0h 34m 27s","tt0091129"
"270","Terminus","3","0h 43m 54s","tt0092070"
"271","Sans peur et sans reproches","2","0h 12m 32s","tt0096034"
"272","Cocktail","0","0h 46m 25s","tt0094889"
"273","Legends","0","0h 38m 55s","tt0089469"
"274","Cobra","1","0h 05m 18s","tt0090859"
"275","Firefox, l'arme absolue","127","0h 34m 05s","tt0083943"
"276","Devil Story : Il était une fois le diable","222","0h 55m 21s","tt0233004"
"277","Superman IV","80","0h 20m 03s","tt0094074"
"278","Barbarians","52","1h 17m 35s","tt0092615"
"279","Ne réveillez pas un flic qui dort","127","0h 46m 50s","tt0095710"
"280","Spookies","223","0h 19m 16s","tt0090057"
"281","La fièvre au corps","50","0h 34m 48s","tt0082089"
"282","Kamikaze","3","0h 41m 01s","tt0091322"
"283","American Warrior","221","0h 50m 10s","tt0088708"
"284","Surf Nazis Must Die","222","0h 15m 42s","tt0094077"
"285","Cyborg","0","0h 06m 40s","tt0097138"
"286","Le Gendarme et les Gendarmettes","163","0h 26m 58s","tt0083996"
"287","Mac et moi","221","0h 15m 24s","tt0095560"
"288","Moonwalker","79","1h 03m 38s","tt0095655"
"289","Crocodile Dundee II","160","0h 40m 50s","tt0092493"
"290","Vendredi 13","125","1h 30m 43s","tt0080761"
"291","Allo Maman, ici bébé","78","0h 18m 04s","tt0097778"
"292","Jumeaux","78","0h 10m 24s","tt0096320"
"293","Allan Quatermain et les mines du roi Salomon","49","0h 31m 30s","tt0089421"
"294","Trois hommes et un couffin","47","1h 13m 00s","tt0090206"
"295","Parking","221","0h 28m 03s","tt0089775"
"296","Trois hommes et un bébé","160","0h 24m 57s","tt0094137"
"297","Le passage","3","0h 34m 27s","tt0091730"
